"year","Measures","Contra.Costa.County..California","Marin.County..California","San.Mateo.County..California","Ventura.County..California","Santa.Clara.County..California","Douglas.County..Colorado","District.of.Columbia","DuPage.County..Illinois","Lake.County..Illinois","Hamilton.County..Indiana","Johnson.County..Kansas","Oakland.County..Michigan","Dakota.County..Minnesota","Washington.County..Minnesota","Bergen.County..New.Jersey","Middlesex.County..New.Jersey","Monmouth.County..New.Jersey","Morris.County..New.Jersey","Somerset.County..New.Jersey","Nassau.County..New.York","Rockland.County..New.York","Suffolk.County..New.York","Westchester.County..New.York","Bucks.County..Pennsylvania","Chester.County..Pennsylvania","Montgomery.County..Pennsylvania","Collin.County..Texas","Fort.Bend.County..Texas","Arlington.County..Virginia","Fairfax.County..Virginia","Loudoun.County..Virginia","Prince.William.County..Virginia","Waukesha.County..Wisconsin","Anne.Arundel.County..Maryland","Baltimore.County..Maryland","Frederick.County..Maryland","Howard.County..Maryland","Montgomery.County..Maryland","Prince.George.s.County..Maryland"
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...20.000.to..34.999..30.percent.or.more",9432,2175,5002,6883,10037,1797,4204,9701,7653,2795,4727,18012,4825,2537,5735,5605,6089,3343,2361,8084,2208,12727,5285,5779,4561,7615,6520,6274,768,6182,1524,3084,3761,4630,8356,2037,1528,7122,8368
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...35.000.to..49.999.",13368,2615,5960,9824,14580,4267,6761,16429,11480,4865,9552,25449,8722,4752,8363,8778,7825,4870,3609,13016,2731,18719,7739,9977,6320,11657,10300,9879,1253,10967,2998,5177,6370,7381,13822,3773,2985,11286,14294
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...35.000.to..49.999..Less.than.20.percent",306,24,132,353,419,95,299,467,452,266,462,1644,422,146,209,125,184,214,15,368,34,215,579,437,257,333,456,204,26,205,127,180,276,377,594,170,95,138,280
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...35.000.to..49.999..20.to.29.percent",949,205,461,805,928,362,1059,1739,1198,1293,2137,5280,1635,718,475,675,595,253,255,637,233,829,800,1433,882,1693,1146,1509,46,1057,267,426,1160,1080,2708,698,532,1215,1106
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...35.000.to..49.999..30.percent.or.more",12113,2386,5367,8666,13233,3810,5403,14223,9830,3306,6953,18525,6665,3888,7679,7978,7046,4403,3339,12011,2464,17675,6360,8107,5181,9631,8698,8166,1181,9705,2604,4571,4934,5924,10520,2905,2358,9933,12908
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...50.000.to..74.999.",29002,5306,13989,20703,31678,9633,12353,33862,24057,10987,21003,49101,19103,11338,19074,20605,17580,11201,8781,29467,6505,44019,17390,23150,14907,26139,23060,18324,3738,24799,6993,11465,15274,19261,30640,8125,7024,23334,31547
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...50.000.to..74.999..Less.than.20.percent",2420,275,944,1466,2124,478,1391,2178,1368,2069,3180,7301,2459,1296,1119,1121,793,658,453,1602,390,1579,2029,2210,1498,2335,1628,1741,232,1856,343,648,1693,1830,4238,1148,440,1363,1758
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...50.000.to..74.999..20.to.29.percent",4751,763,1891,3495,3964,2458,3451,8936,6456,5539,9466,18602,6908,3876,2096,4042,2969,1656,1279,2378,851,4881,2328,7195,3935,7728,8441,7165,904,4762,1094,2109,5604,5053,10898,2192,1861,4807,6952
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...50.000.to..74.999..30.percent.or.more",21831,4268,11154,15742,25590,6697,7511,22748,16233,3379,8357,23198,9736,6166,15859,15442,13818,8887,7049,25487,5264,37559,13033,13745,9474,16076,12991,9418,2602,18181,5556,8708,7977,12378,15504,4785,4723,17164,22837
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...75.000.or.more.",141443,36856,88035,95228,204856,54856,58041,126290,98132,43345,80366,164407,60055,37889,115339,94396,93595,79035,52174,183279,37131,204108,113015,86431,76160,113930,110032,67125,28483,183603,57540,61725,58948,82079,92607,36257,49971,149970,106209
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...75.000.or.more..Less.than.20.percent",40652,11436,26188,29181,61188,24176,28527,53574,38452,26461,47757,84229,29477,17961,37073,34088,31331,27592,18192,55203,12389,57784,42761,36383,34466,55043,56284,37291,12788,83652,19095,22726,28633,38168,47536,15809,22789,67092,39594
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...75.000.or.more..20.to.29.percent",44759,10977,26585,31287,65317,20722,18398,47283,36402,12933,26094,56106,23748,14446,36931,34686,34250,28294,19539,58697,12442,70123,33261,32556,27808,40049,41756,22029,10171,59337,21118,22483,22379,28873,31059,12906,16982,47832,37896
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage...75.000.or.more..30.percent.or.more",56032,14443,35262,34760,78351,9958,11116,25433,23278,3951,6515,24072,6830,5482,41335,25622,28014,23149,14443,69379,12300,76201,36993,17492,13886,18838,11992,7805,5524,40614,17327,16516,7936,15038,14012,7542,10200,35046,28719
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..With.a.mortgage..Zero.or.negative.income",814,257,455,372,1063,148,454,756,342,218,173,795,228,168,444,275,410,221,98,547,67,1078,371,255,229,391,566,312,54,886,386,102,202,248,458,118,111,385,703
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged.",54421,17092,39188,37503,83139,9246,25352,62814,41624,12396,31965,88180,22559,14275,71987,52371,46899,36062,22670,123411,19433,115329,69348,50734,34266,63598,34717,28819,8312,43650,6601,9862,30675,31393,59385,12450,13775,48175,27762
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged..Less.than..20.000.",7759,1696,4752,5648,9182,537,3624,7124,4861,1344,3459,13639,2706,1635,8486,6714,5636,3290,2246,12818,2096,14035,7297,6778,4241,8391,3492,3885,883,3125,449,942,3149,4034,9293,1633,882,3948,2910
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged..Less.than..20.000..Less.than.20.percent",1160,223,595,1138,1537,24,436,323,349,111,275,858,261,117,197,62,226,85,28,340,34,363,568,319,122,479,242,469,70,256,45,61,111,118,957,174,46,182,129
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged..Less.than..20.000..20.to.29.percent",1337,113,825,973,1878,84,771,614,517,391,619,1983,495,367,166,216,241,168,125,560,94,670,231,661,343,830,542,488,71,436,28,176,308,727,1789,314,93,252,269
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged..Less.than..20.000..30.percent.or.more",5262,1360,3332,3537,5767,429,2417,6187,3995,842,2565,10798,1950,1151,8123,6436,5169,3037,2093,11918,1968,13002,6498,5798,3776,7082,2708,2928,742,2433,376,705,2730,3189,6547,1145,743,3514,2512
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...20.000.to..34.999.",8658,2222,5700,6609,11643,870,3335,9340,5979,1831,4973,16613,3465,2109,10569,8228,7088,4284,2917,16552,2434,16292,8690,8504,5257,10684,4373,3523,757,3343,535,1095,4854,5431,10372,2116,1281,5138,3973
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...20.000.to..34.999..Less.than.20.percent",4583,828,3062,3709,6254,368,1561,1733,1413,905,2137,5949,1559,986,766,568,743,389,121,1245,187,1148,1090,1623,1290,2552,1533,1312,149,935,128,418,1132,2181,4986,1055,324,1064,922
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...20.000.to..34.999..20.to.29.percent",1939,377,1264,1606,2611,354,993,3582,1655,661,1888,6111,1176,776,1156,1895,1367,680,463,2142,459,2772,1159,3360,1919,4030,1372,1099,306,1062,167,415,2249,1887,3301,731,404,1907,1710
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...20.000.to..34.999..30.percent.or.more",2136,1017,1374,1294,2778,148,781,4025,2911,265,948,4553,730,347,8647,5765,4978,3215,2333,13165,1788,12372,6441,3521,2048,4102,1468,1112,302,1346,240,262,1473,1363,2085,330,553,2167,1341
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...35.000.to..49.999.",7659,2049,4898,5732,10050,1025,3238,7681,5381,1751,4483,13137,3634,2209,8232,7039,5625,4506,2359,14404,2125,14064,8262,7353,4330,8924,3726,2910,790,4353,769,1092,4853,4272,8156,1621,1469,4999,4107
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...35.000.to..49.999..Less.than.20.percent",5765,1352,3998,4563,7718,902,2444,4117,2555,1500,3694,9209,3113,1931,1266,1996,1413,833,404,1996,444,3177,2213,4190,2572,5340,2341,2103,431,2399,471,717,3491,3186,6819,1365,935,2722,2802
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...35.000.to..49.999..20.to.29.percent",1473,366,583,985,1536,85,538,2892,2037,154,602,3204,483,253,3228,3683,2523,2097,1139,4470,734,5308,2157,2573,1355,2484,980,634,275,1573,220,297,1174,947,1113,226,356,1780,1065
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...35.000.to..49.999..30.percent.or.more",421,331,317,184,796,38,256,672,789,97,187,724,38,25,3738,1360,1689,1576,816,7938,947,5579,3892,590,403,1100,405,173,84,381,78,78,188,139,224,30,178,497,240
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999.",9877,2977,6973,6518,13456,1777,3991,11070,7241,2217,5542,15271,4388,2951,11981,8927,7644,6113,3546,19813,3428,20801,10203,9453,5628,10283,5860,4620,1300,7287,1042,1789,6144,5244,11651,2181,2324,8093,4874
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999..Less.than.20.percent",8691,2447,6179,6075,11748,1690,3540,9299,5489,2181,5303,13827,4264,2850,5187,5991,4295,3185,1910,7654,1556,9759,4632,8112,4609,8661,4814,3912,1081,6467,760,1713,5654,4976,10953,2075,2087,6787,4557
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999..20.to.29.percent",1051,323,581,337,1384,87,317,1546,1246,36,144,1233,108,85,5007,2557,2640,2184,1302,8452,1504,8407,3208,1060,849,1427,758,596,180,711,192,76,452,232,630,72,229,1101,299
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...50.000.to..74.999..30.percent.or.more",135,207,213,106,324,0,134,225,506,0,95,211,16,16,1787,379,709,744,334,3707,368,2635,2363,281,170,195,288,112,39,109,90,0,38,36,68,34,8,205,18
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more.",20064,7923,16577,12517,37973,4955,10812,27198,17937,5156,13230,28735,8231,5297,32231,20950,20512,17593,11513,59131,9112,49155,34513,18368,14655,24902,17034,13480,4552,25253,3794,4816,11527,12179,19392,4795,7733,25653,11459
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more..Less.than.20.percent",19767,7637,16282,12311,37179,4939,10508,26808,16725,5124,13166,28292,8222,5274,29429,20231,18932,16419,10681,51834,8142,45200,29533,18214,14403,24356,16813,13286,4513,24952,3747,4750,11405,12103,19266,4753,7697,25100,11391
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more..20.to.29.percent",284,185,281,167,676,16,244,316,899,0,49,416,7,23,2438,689,1363,1057,731,6037,936,3674,4038,138,196,447,184,178,29,277,0,54,106,76,109,42,36,482,68
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged...75.000.or.more..30.percent.or.more",13,101,14,39,118,0,60,74,313,32,15,27,2,0,364,30,217,117,101,1260,34,281,942,16,56,99,37,16,10,24,47,12,16,0,17,0,0,71,0
"2010","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income..Not.mortgaged..Zero.or.negative.income",404,225,288,479,835,82,352,401,225,97,278,785,135,74,488,513,394,276,89,693,238,982,383,278,155,414,232,401,30,289,12,128,148,233,521,104,86,344,439
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...Total..",253163,64786,154127,174310,351897,82110,111381,254592,186237,78993,152175,354203,118286,72590,222670,185605,176545,136585,90645,362670,69289,401345,214765,180127,139759,226980,194135,142467,43096,273783,78987,94336,117390,147837,210981,64588,76862,244497,193551
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..",198344,48018,115243,136905,267020,72565,86352,191178,144394,66342,118944,264036,94724,57939,150737,132426,128477,100399,67680,239787,49390,284837,146316,128296,104993,163049,156969,111256,34730,228088,72022,83348,85879,116379,151629,51593,62934,195241,164918
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..",6399,1493,2988,4318,7013,1550,3996,5144,4247,1589,2938,11559,2286,1657,4322,3242,3732,2103,1641,5312,1035,6743,3119,3376,2598,3839,3716,3984,540,4073,914,1734,2022,3074,5346,1187,908,4598,4763
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..Less.than.20.percent.",0,0,3,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..20.to.29.percent.",56,17,0,59,0,0,43,0,0,0,11,121,0,3,0,0,12,0,0,10,0,7,17,12,11,0,20,9,10,0,8,0,8,38,53,0,0,0,19
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage..Less.than..20.000..30.percent.or.more.",6343,1476,2985,4259,7013,1550,3943,5144,4247,1589,2927,11388,2286,1654,4322,3242,3720,2103,1641,5302,1035,6736,3102,3364,2587,3826,3696,3975,530,4073,906,1734,2002,3036,5293,1187,908,4598,4744
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..",9909,2287,4818,7571,10221,2099,4220,11149,7966,3501,5329,18864,4960,2823,5847,6150,5864,3418,2093,8447,2135,12384,5502,5994,4827,7761,6541,6496,714,6612,1268,3139,4014,4824,8899,2104,1923,7298,7970
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..Less.than.20.percent.",176,30,70,145,73,31,63,209,68,152,121,310,75,68,41,0,36,66,0,50,24,51,148,91,46,66,24,39,9,86,0,12,18,45,205,116,32,39,85
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..20.to.29.percent.",335,52,145,358,362,87,154,292,324,429,413,1155,246,187,37,176,89,56,9,186,34,197,223,227,259,409,315,278,0,251,9,105,198,166,401,100,153,174,86
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...20.000.to..34.999..30.percent.or.more.",9398,2205,4603,7068,9786,1981,4003,10648,7574,2920,4795,17399,4639,2568,5769,5974,5739,3296,2084,8211,2077,12136,5131,5676,4522,7286,6202,6179,705,6275,1259,3022,3798,4613,8293,1888,1738,7085,7799
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..",12847,2691,5586,9713,13674,4061,6470,15561,11421,4896,9271,24442,8027,4828,7794,8191,7775,4534,3728,12050,2703,17169,7129,9516,6263,11078,10274,9591,1002,9773,2702,4600,6057,6952,12995,3544,2438,10495,12899
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..Less.than.20.percent.",342,22,133,290,529,89,190,350,480,255,362,1468,428,135,132,70,203,169,0,356,50,139,476,325,195,223,405,194,15,148,103,143,262,317,529,190,71,160,207
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..20.to.29.percent.",816,211,387,780,719,322,891,1484,926,1345,1827,5090,1369,775,413,617,422,182,248,463,222,725,638,1224,761,1474,1124,1447,28,1093,219,361,1011,961,2328,650,373,1075,864
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...35.000.to..49.999..30.percent.or.more.",11689,2458,5066,8643,12426,3650,5389,13727,10015,3296,7082,17884,6230,3918,7249,7504,7150,4183,3480,11231,2431,16305,6015,7967,5307,9381,8745,7950,959,8532,2380,4096,4784,5674,10138,2704,1994,9260,11828
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..",28225,5059,13526,19277,29840,9422,11673,31763,22552,10961,19753,46615,18719,10691,18163,19419,16534,11148,8354,28073,5871,40526,17294,22148,14227,24705,22942,17899,3518,22823,6821,10599,14750,18295,29115,7761,6655,22437,29852
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..Less.than.20.percent.",2050,226,879,1303,2043,435,1393,2183,1163,2051,2755,7178,2112,1192,849,907,704,501,374,1488,286,1254,1889,1931,1364,2167,1446,1619,173,1654,212,568,1601,1556,3789,962,365,1229,1469
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..20.to.29.percent.",4668,784,1823,3311,3597,2476,3077,8021,6082,5281,8900,17940,7140,3820,1721,3164,2596,1545,1190,2007,627,4308,2153,6202,3614,6859,8241,6441,759,4623,1175,2218,5283,4373,9588,2209,1539,4160,5802
"2011","Mortgage.Status.by.Monthly.Housing.Costs.As.A.Percentage.of.Household.Income...With.a.mortgage...50.000.to..74.999..30.percent.or.more.",21507,4049,10824,14663,24200,6511,7203,21559,15307,3629,8098,21497,9467,5679,15593,15348,13234,9102,6790,24578,4958,34964,13252,14015,9249,15679,13255,9839,2586,16546,5434,7813,7866,12366,15738,4590,4751,17048,22581
